"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","f0","f1","f2","b1","b2","epoch","soe","F0z","str_outlier","zF1F2","formant_outlier","h1cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","f0z","f1z","f2z","b1z","b2z","epochz","norm.soe","H1c.resid"
"f7","zah",1,"a","breathy","L",229,-7.567,0.241,-10.0455,13.037,4.629,1.598,11.5625,32.3375,14.182,-1.86966623150499,29.5775,32.797,35.356,38.6285,0.426,186.693,260.6115,1767.889,368.2325,153.6815,0.167,0.0545,0.233501794465522,"OK",2.17662523818208,NA,0.0694092174369726,-1.19737472112493,-0.909343590664805,0.530565522557567,1.37770461458211,-0.817420948087729,-0.939993866948409,-0.863485060677003,-0.183397375379807,0.231906321885336,0.0814798991947344,0.160740249494173,0.265198923092901,-0.286612466073842,0.486764444530405,0.455439012342278,-1.38798554201567,0.0146049911561375,0.276437622100392,-0.138816728726772,0.196903558640334,0.765897223482908,0.182858563604341
"f7","zah",2,"a","breathy","L",170,-7.7695,14.634,12.781,38.665,34.859,26.9995,3.404,3.9375,15.034,-2.45593195564972,31.663,34.1465,37.476,41.1385,0,181.6495,1004.189,1727.0965,399.393,82.048,0.1715,0.066,0.153000942955805,"OK",2.9921089953621,NA,0.0378093301541917,1.46039576127411,1.27904176816066,-0.3633693348066,-1.23520773739391,1.57387393069285,1.74416226379665,1.15175168691913,-1.33622757333818,0.465671481248223,0.216030316648194,0.37230650620907,0.519644926001464,-0.0813285084473779,-1.4576308205131,0.376598054849658,1.69757771648756,-0.153378895375108,0.435445483343583,-0.882900527598527,0.265947663618113,0.828288476086615,0.864397738042162
"f7","zah",3,"a","breathy","L",124,-15.842,2.97,-5.9175,4.745,1.5875,4.444,0.7555,26.92,14.184,-2.09691001300806,24.907,30.665,36.099,40.719,0.253,122.235,282.9755,1605.377,149.034,84.4885,0.074,0.04,-0.795332127734009,"OK",1.39327649629763,NA,-1.22189481843963,-0.693445335557849,-0.513590638559511,-0.653568080866414,0.879273182651474,-1.59113006057597,-1.21005211609367,-0.637696670870944,-0.63024849224693,-0.291613302571325,-0.131088822562046,0.234888234748498,0.47711899045559,-0.286130578849367,-0.302860862635151,-0.552180783049678,-1.29518346460858,-0.654620904975892,-0.842102987733069,-0.857550146685316,-1.23000794423377,0.66556906781919,-0.832024029829332
"f7","zahg",1,"a","breathy","L",112,-9.0155,15.042,10.9775,44.5735,35.8275,28.711,4.51,-0.197,13.894,-2.34678748622466,30.2585,34.164,36.4925,39.0755,0,205.519,995,1811.1155,754.54,126.465,0.1605,0.0325,0.533989358760542,"OK",2.87412282217588,NA,-0.156627507151216,1.53573588194518,1.1061395275788,-0.242183828617378,-1.61559809370535,2.12518366189603,1.8301564818789,1.28753412864544,-1.12160639541256,0.308240090058975,0.217775134955297,0.274157726266099,0.31051261365072,-0.35600422639828,-1.4576308205131,0.749730648261,1.6594468682809,0.192612111855846,2.24771309448382,-0.421524633715264,0.0971731847835414,0.598633051474587,0.537196556323928
"f7","zahg",2,"a","breathy","L",154,-6.074,8.212,16.19,27.3725,28.85,27.483,3.3025,10.398,15.1455,-2.1249387366083,29.8845,36.1335,39.822,42.7105,0.2805,190.112,769.1315,1803.3975,200.7935,102.9455,0.2115,0.0335,0.288073502864793,"OK",0.766455804922426,NA,0.302390114786068,0.274527489338679,1.60586391295885,-0.374490789488522,-0.640816179297394,0.520194462196297,1.21061630978914,1.190110325876,-0.685364044198612,0.266318167449664,0.414141972431835,0.606426524253007,0.679003139775273,-0.0544632956828819,-0.177342388952765,0.508885474851898,0.722178668458775,0.160829317561597,-0.57798118628518,-0.665830425105664,0.879673041198375,0.608378540579923,0.726355302618945
"f7","zahg",3,"a","breathy","L",138,-6.1075,5.981,12.815,32.097,31.1655,27.39,9.58,9.2215,14.8985,-2.22184874961636,28.3,34.1465,38.0455,41.4675,0.5195,186.048,826.152,1796.8525,269.312,129.192,0.1715,0.032,0.223206751494616,"OK",1.12297667900563,NA,0.297162479112127,-0.137442631291644,1.28230136127393,0.313341050568297,-0.749058833596683,0.961027638987262,1.41621219204981,1.18273213885844,-0.875927443829742,0.0887104498709076,0.216030316648194,0.429139988850171,0.552996613235295,-0.113976367905577,0.913527255050517,0.445356248867957,0.958792013781197,0.133876947950835,-0.22834045071959,-0.393198270777207,0.265947663618113,0.593650660709285,0.839009905154848
"f8","bgah",1,"a","breathy","L",204,2.3655,6.902,-10.0965,19.68,16.8445,20.34,15.763,21.6975,21.2655,-0.860120913598763,33.0275,32.928,35.814,39.7545,0.5045,154.588,370.322,1790.2555,238.7075,413.7885,0.1395,0.039,-0.469497703044358,"OK",1.2130554444693,NA,0.306597247407663,0.389826939028001,-0.832156294137855,0.925627458446345,0.0799950042540597,0.119803740005235,-0.0398261011215961,0.854889105488154,0.767688942639754,0.208848180675171,-0.218095523903125,-0.184742957285981,-0.00347182075768827,0.500009048536054,0.600807647196323,-0.166342982317906,-0.32750587846741,0.736078336318088,-0.228507790800428,2.72633062065957,-0.23389727673766,0.62426313448796,-0.168294001292227
"f8","bgah",2,"a","breathy","L",173,0.6475,8.354,-7.4415,13.9725,19.182,14.1605,12.8625,16.4005,15.7895,-1.17392519729917,22.475,28.3015,33.715,37.3785,0.2325,149.5185,304.091,1663.053,215.981,131.9435,0.139,0.0485,-0.676319163807448,"OK",1.32734358315025,NA,-0.0315264929945199,0.73694986169842,-0.576244534918339,0.596142724147,-0.423497417473142,-0.464007796724743,0.20074064703084,0.144811659307021,-0.270136913556357,-0.930977028684625,-0.670400272319342,-0.393440653696005,-0.245230676563215,-0.788445739072463,-0.269080325529051,-0.501038339426935,-0.621836405170936,0.0211843374489513,-0.367622077169576,-0.527402459406828,-0.249440289768459,0.727305635354284,0.135579803675057
"f8","bgah",3,"a","breathy","L",138,2.6485,3.224,15.546,46.058,39.6305,38.351,15.9905,2.9415,17.8,-1.35654732351381,33.193,38.23,40.6125,43.9195,0,147.8935,924.9145,1683.626,410.307,116.913,0.138,0.05,-0.742614631553777,"OK",2.01634983214184,NA,0.362295162735845,-0.489455505587566,1.63948863459527,0.951470512076098,-1.70280731062519,2.81796943704656,2.30522370568114,2.92450717866048,-0.874111984463951,0.226724614899197,0.300248748463198,0.292358470166854,0.420318429423296,-0.315392716704509,-1.01264265515644,-0.608323072694942,2.1371028792265,0.136807176927224,0.821893370126355,-0.700920652243096,-0.280526315830055,0.741741214518843,0.903019548290032
"f8","cha7",1,"a","checked","L",114,5.4165,-0.913,13.3285,39.4175,34.8195,29.8415,20.4285,-2.3225,20.7585,-0.749579997691106,30.2045,32.807,34.1865,35.3625,0.106,145.8795,1088.9565,1712.435,335.3465,152.104,0.1185,0.0545,-0.824780214348307,"OK",4.31391533311025,NA,0.907071945875101,-1.47846895674977,1.42574689219629,1.45560885057653,-2.20316300403127,2.13872274240698,1.81009359857468,1.94669278780712,1.13327420280176,-0.0960773408621622,-0.229924957504845,-0.346560728085083,-0.450359402701238,0.380716393803124,-0.673642195197286,-0.741290120572956,2.86610543484999,0.298717369049397,0.363042404805056,-0.294661464318469,-0.886703824031194,0.782629446039017,0.206030193941925
"f8","cha7",2,"a","checked","L",110,2.4295,7.7265,-8.7505,11.401,7.92,3.4225,5.754,25.757,20.579,-1.06550154875643,40.7175,42.9595,42.5575,41.813,0,148.963,269.436,1700.999,206.481,135.193,0.129,0.0645,-0.698982014473963,"OK",1.79744645037872,NA,0.319193242393541,0.586936339676597,-0.7024172252454,-0.211353305422691,0.465860113939085,-0.727042639773563,-0.958302226848404,-1.08907645738414,0.0884460367905048,1.03948128751969,0.762623180027987,0.485744377512017,0.205981295688304,0.33848161762056,-1.01264265515644,-0.537713212861014,-0.775843205655764,0.234445615183966,-0.425773826031341,-0.489888912444222,-0.560300550384427,0.862738775253665,0.264480654363328
"f8","cha7",3,"a","checked","L",97,3.8065,2.0645,10.857,47.292,39.1585,32.6795,20.6315,-0.093,23.0525,-1.18045606445813,37.468,40.301,40.4345,40.9965,0,148.836,1119.006,1706.7485,600.1375,124.6605,0.1365,0.0545,-0.704163260260906,"OK",4.84642234235882,NA,0.590203947011589,-0.766651806439048,1.18752244288894,1.47866880612308,-1.99124373760862,2.94419342939431,2.25664723289913,2.27280328093149,-0.291736054017483,0.688487492891439,0.502717814489348,0.274660428260716,0.1229021265952,0.920474480503991,-1.01264265515644,-0.546097927399497,2.9996453959283,0.266758526066207,1.98389079773723,-0.611480367555362,-0.327155354922451,0.782629446039017,0.770671440143314
"f8","da7abep",1,"a","laryngealized","L",104,2.6875,-0.5455,17.954,18.0765,23.885,20.1035,12.2095,-1.853,23.0415,-0.765735875621211,35.8365,42.3175,44.331,45.5895,0.505,160.4565,638.207,1975.2435,102.391,77.536,0.1745,0.048,-0.230079270755533,"OK",1.09238382612428,NA,0.369970847180365,-1.39061243190034,1.87159240717553,0.521964640541597,-2.15853591473527,-0.0442158481062884,0.684755798500746,0.827713231061123,1.07984284855862,0.512261496296271,0.699858747199021,0.662078519762221,0.59024153093644,0.917886276949627,0.602406705969716,0.221103452871826,0.862974910679274,1.77573409043301,-1.06293335645462,-1.15550472325296,0.854113635418228,0.722396395315296,-0.298018347751014
"f8","da7abep",2,"a","laryngealized","L",98,0.612,0.237,8.962,22.113,26.9995,15.596,8.603,16.269,21.3565,-1.08618614761628,40.5045,43.312,46.156,47.839,0.639,156.528,468.405,1642.2865,289.2005,319.9835,0.1455,0.045,-0.390351113857969,"OK",0.21345468159281,NA,-0.0385133339632495,-1.20354377694882,1.00486602717482,0.112281243109917,-0.435996804570958,0.368671627673047,1.00528847748289,0.309762897108302,0.020037118758358,1.01647415465131,0.79708495973548,0.843533162900998,0.819128966178247,0.521420550667604,1.03095445723883,-0.0382615161394805,0.10837491829939,-0.0955259962906819,0.0805718150182135,1.64340762548269,-0.0473811203680789,0.691845858964361,-0.05090826610176
